Item id            No of transaction it went through 
------------------------------------------------------------------------------------------------------------------------------------
{0,1}                    16
{0,2}                    18
{0,3}                    17
{0,4}                    19
{0,5}                    20
{0,6}                    15
{0,7}                    18
{0,8}                    17
{0,9}                    20
{0,10}                    22
{1,2}                    16
{1,3}                    12
{1,4}                    16
{1,5}                    14
{1,6}                    12
{1,7}                    17
{1,8}                    16
{1,9}                    19
{1,10}                    16
{2,3}                    14
{2,4}                    16
{2,5}                    15
{2,6}                    13
{2,7}                    16
{2,8}                    15
{2,9}                    17
{2,10}                    15
{3,4}                    15
{3,5}                    14
{3,6}                    13
{3,7}                    13
{3,8}                    14
{3,9}                    17
{3,10}                    18
{4,5}                    12
{4,6}                    13
{4,7}                    19
{4,8}                    18
{4,9}                    17
{4,10}                    20
{5,6}                    14
{5,7}                    13
{5,8}                    14
{5,9}                    18
{5,10}                    17
{6,7}                    14
{6,8}                    15
{6,9}                    18
{6,10}                    15
{7,8}                    16
{7,9}                    17
{7,10}                    19
{8,9}                    19
{8,10}                    18
{9,10}                    19
